E,J,e/f,State,v,Lambda,Sigma,L
48181.186274,32.5,e,2,0,0,0.5,8.0
50279.830368,32.5,e,2,1,0,0.5,8.0
49021.068589,32.5,f,2,0,0,-0.5,8.0
51061.032239,32.5,f,2,1,0,-0.5,8.0
49876.087647,33.5,f,2,0,0,0.5,8.0
49027.072938,33.5,e,2,0,0,-0.5,8.0
51066.760494,33.5,e,2,1,0,-0.5,8.0
49882.18778,34.5,e,2,0,0,0.5,8.0
50738.876079,34.5,f,2,0,0,-0.5,8.0
50745.054195,35.5,e,2,0,0,-0.5,8.0
38222.286637,0.5,e,2,2,0,0.5,8.001
40815.396446,0.5,e,2,3,0,0.5,8.001
43201.054797,0.5,e,2,4,0,0.5,8.001
45365.06376,0.5,e,2,5,0,0.5,8.001
47284.584594,0.5,e,2,6,0,0.5,8.001
48911.787958,0.5,e,2,7,0,0.5,8.001
50179.454935,0.5,e,2,8,0,0.5,8.001
51011.119119,0.5,e,2,9,0,0.5,8.001
38252.648662,0.5,f,2,2,0,-0.5,8.001
40844.031529,0.5,f,2,3,0,-0.5,8.001
43227.796764,0.5,f,2,4,0,-0.5,8.001
45389.830913,0.5,f,2,5,0,-0.5,8.001
47307.03085,0.5,f,2,6,0,-0.5,8.001
48930.759264,0.5,f,2,7,0,-0.5,8.001
50195.991755,0.5,f,2,8,0,-0.5,8.001
51022.951194,0.5,f,2,9,0,-0.5,8.001
38313.629598,1.5,f,2,2,0,0.5,8.001
40901.550261,1.5,f,2,3,0,0.5,8.001
43281.604945,1.5,f,2,4,0,0.5,8.001
45439.551894,1.5,f,2,5,0,0.5,8.001
47352.226799,1.5,f,2,6,0,0.5,8.001
48970.169768,1.5,f,2,7,0,0.5,8.001
50229.102591,1.5,f,2,8,0,0.5,8.001
51046.573618,1.5,f,2,9,0,0.5,8.001
38252.954432,1.5,e,2,2,0,-0.5,8.001
40844.322372,1.5,e,2,3,0,-0.5,8.001
43228.056823,1.5,e,2,4,0,-0.5,8.001
45390.084132,1.5,e,2,5,0,-0.5,8.001
47307.237428,1.5,e,2,6,0,-0.5,8.001
48930.864031,1.5,e,2,7,0,-0.5,8.001
50196.171201,1.5,e,2,8,0,-0.5,8.001
51023.084896,1.5,e,2,9,0,-0.5,8.001
38314.138823,2.5,e,2,2,0,0.5,8.001
40902.03535,2.5,e,2,3,0,0.5,8.001
43282.055562,2.5,e,2,4,0,0.5,8.001
45439.983953,2.5,e,2,5,0,0.5,8.001
47352.592572,2.5,e,2,6,0,0.5,8.001
48970.479787,2.5,e,2,7,0,0.5,8.001
50229.36218,2.5,e,2,8,0,0.5,8.001
51046.794431,2.5,e,2,9,0,0.5,8.001
35621.897734,2.5,f,2,1,0,-0.5,8.001
38405.029843,2.5,f,2,2,0,-0.5,8.001
40987.752998,2.5,f,2,3,0,-0.5,8.001
43362.271502,2.5,f,2,4,0,-0.5,8.001
45512.991608,2.5,f,2,5,0,-0.5,8.001
47420.079824,2.5,f,2,6,0,-0.5,8.001
49029.891588,2.5,f,2,7,0,-0.5,8.001
50278.766391,2.5,f,2,8,0,-0.5,8.001
